"","datetime","Streamflow_mm_day"
"161",2021-04-23,0.113315795714419
"162",2021-04-24,0.130455899649901
"163",2021-04-25,0.155126151556869
"164",2021-04-26,0.151700383182001
"165",2021-04-27,0.151050523446694
"166",2021-04-28,0.148093348428476
"167",2021-04-29,0.137279192509898
"168",2021-04-30,0.136406724920724
"169",2021-05-01,0.133857781860731
"170",2021-05-02,0.123858678535941
"171",2021-05-03,0.119739522951941
"172",2021-05-04,0.110649001076643
"173",2021-05-05,0.107381765976658
"174",2021-05-06,0.096725971765189
"175",2021-05-07,0.0879459933872184
"176",2021-05-08,0.0848411360446166
"177",2021-05-09,0.0740924535268452
"178",2021-05-10,0.0565185526676616
"179",2021-05-11,0.0442377236589594
"180",2021-05-12,0.0447664023338415
"181",2021-05-13,0.0477474750275276
"182",2021-05-14,0.0400188006176957
"183",2021-05-15,0.0392740371402119
"184",2021-05-16,0.0410952061903243
"185",2021-05-17,0.0368037082624402
"186",2021-05-18,0.0367380245343414
"187",2021-05-19,0.0367380245343414
"188",2021-05-20,0.0367380245343414
"189",2021-05-21,0.0367380245343414
"190",2021-05-22,0.0367380245343414
"191",2021-05-23,0.0367380245343414
"192",2021-05-24,0.0367380245343414
"193",2021-05-25,0.0338087583019337
"194",2021-05-26,0.0282440515015915
"195",2021-05-27,0.0256108007501699
"196",2021-05-28,0.026953538423428
"197",2021-05-29,0.0351042337716723
"198",2021-05-30,0.0324995423836799
"199",2021-05-31,0.0206241266538159
"200",2021-06-01,0.0103178505330313
"201",2021-06-02,0.00517683820146882
"202",2021-06-03,0
"203",2021-06-04,0
"204",2021-06-05,0
"205",2021-06-06,0
"206",2021-06-07,0
"207",2021-06-08,0
"208",2021-06-09,0
"209",2021-06-10,0
"210",2021-06-11,0
"211",2021-06-12,0
"212",2021-06-13,0
"213",2021-06-14,0
"214",2021-06-15,0
"215",2021-06-16,0
"216",2021-06-17,0
"217",2021-06-18,0
"218",2021-06-19,0
"219",2021-06-20,0
"220",2021-06-21,0
"221",2021-06-22,0
"222",2021-06-23,0
"223",2021-06-24,0
"224",2021-10-19,0
"225",2021-10-20,0
"226",2021-10-21,0
"227",2021-10-22,0
"228",2021-10-23,0
"229",2021-10-24,0.000173010653830484
"230",2021-10-25,0.227557394631875
"231",2021-10-26,0.173683229357227
"232",2021-10-27,0.100491169789906
"233",2021-10-28,0.0659718269180246
"234",2021-10-29,0.0495632425763136
"235",2021-10-30,0.0338798569036734
"236",2021-10-31,0.0237753252742699
"237",2021-11-01,0.0308396863474716
"238",2021-11-02,0.0426427393407688
"239",2021-11-03,0.0413009601655893
"240",2021-11-04,0.0525906228641142
"241",2021-11-05,0.0494252177876191
"242",2021-11-06,0.0488444938478625
"243",2021-11-07,0.0485440175587584
"244",2021-11-08,0.0499074605945383
"245",2021-11-09,0.0727542813033685
"246",2021-11-10,0.0700088082326603
"247",2021-11-11,0.0703432830521315
"248",2021-11-12,0.0713284790420058
"249",2021-11-13,0.0695028747968909
"250",2021-11-14,0.064656197205978
"251",2021-11-15,0.0562950731937631
"252",2021-11-16,0.0489598400179876
"253",2021-11-17,0.0431139817628058
"254",2021-11-18,0.0436290839726985
"255",2021-11-19,0.0456894928122695
"256",2021-11-20,0.0433500702756733
"257",2021-11-21,0.0426632673291496
"258",2021-11-22,0.0433071450915155
"259",2021-11-23,0.0428135054737017
"260",2021-11-24,0.042643523747069
"261",2021-11-25,0.0417748061355233
"262",2021-11-26,0.0442085739588278
"263",2021-11-27,0.0463333705746354
"264",2021-11-28,0.0467626224162127
"265",2021-11-29,0.0487942369957171
"266",2021-11-30,0.0489669054800332
"267",2021-12-01,0.0495799564108791
"268",2021-12-02,0.0470804961544887
"269",2021-12-03,0.0476529206785724
"270",2021-12-04,0.0488444938478625
"271",2021-12-05,0.0488444938478625
"272",2021-12-06,0.0488444938478625
"273",2021-12-07,0.0488444938478625
"274",2021-12-08,0.0488444938478625
"275",2021-12-09,0.0488444938478625
"276",2021-12-10,0.0488444938478625
"277",2021-12-11,0.0488444938478625
"278",2021-12-12,0.0488444938478625
"279",2021-12-13,0.178888789172926
"280",2021-12-14,0.568470055308044
"281",2021-12-15,0.365660742639553
"282",2021-12-16,0.443563079651384
"283",2021-12-17,0.384693908019095
"284",2021-12-18,0.307003127765055
"285",2021-12-19,0.237914358509037
"286",2021-12-20,0.179058764876737
"287",2021-12-21,0.151265750603613
"288",2021-12-22,0.179876931076307
"289",2021-12-23,0.8243172130072
"290",2021-12-24,3.28210275534817
"291",2021-12-25,2.28287984412041
"292",2021-12-26,2.51615201351808
